STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,AUX_OBS_STATUS,Aux observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,BASE_PER,Base year,DECIMALS,Decimals
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ISL,Iceland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,2.340175747,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ISL,Iceland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,2.4864017928,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ISL,Iceland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,2.7787495731,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,1.4729130043,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,1.5925234321,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,1.6437889703,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,0.4781317672,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,0.5415428003,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,0.5228888485,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BGR,Bulgaria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,0.8327366104,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BGR,Bulgaria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,0.8496716702,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BGR,Bulgaria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,0.7727791807,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ITA,Italy,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,1.4615914577,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ITA,Italy,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,1.506601094,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ITA,Italy,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,1.4265785391,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,1.319597471,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,1.3674793776,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,1.4020934456,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,0.4761569685,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,0.4653753029,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,0.4723439347,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,POL,Poland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,1.3233527581,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,POL,Poland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,1.3860836379,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,POL,Poland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,1.4318329557,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,LVA,Latvia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,0.63847459,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,LVA,Latvia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,0.7343882099,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,LVA,Latvia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,0.7462243529,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,CHN,China (People’s Republic of),A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,2.2446260727,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,CHN,China (People’s Republic of),A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,2.4066600758,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,CHN,China (People’s Republic of),A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,2.4325972162,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,DNK,Denmark,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,2.8968545376,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,DNK,Denmark,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,2.9725816012,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,DNK,Denmark,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,2.7614218356,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,OECD,OECD,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,2.5580909481,,E,Estimated value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,OECD,OECD,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,2.7215308194,,E,Estimated value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,OECD,OECD,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,2.7191455489,,E,Estimated value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,2.1068348398,,E,Estimated value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,2.1806573161,,E,Estimated value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,2.1461672591,,E,Estimated value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ZAF,South Africa,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,0.6130417103,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ZAF,South Africa,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,0.602397462,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,FRA,France,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,2.1917887625,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,FRA,France,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,2.2746373128,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,FRA,France,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,2.2180751987,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NOR,Norway,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,2.1359951537,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NOR,Norway,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,2.2443627539,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NOR,Norway,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,1.8876381927,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,LTU,Lithuania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,0.9926599951,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,LTU,Lithuania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,1.1326089209,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,LTU,Lithuania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,1.1043629811,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,SVN,Slovenia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,2.0392158482,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,SVN,Slovenia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,2.1415552072,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,SVN,Slovenia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,2.1279957643,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,RUS,Russia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,1.0387868364,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,KOR,Korea,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,4.6270285805,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,KOR,Korea,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,4.7957144336,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,KOR,Korea,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,4.9098796843,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,SVK,Slovak Republic,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,0.8223993515,,,,,,,,,,,,0,Units,,,2,Two
