STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,AUX_OBS_STATUS,Aux observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,BASE_PER,Base year,DECIMALS,Decimals
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,SWE,Sweden,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,3.4021567201,,E,Estimated value,,,,,V2,The sum of the breakdown does not add to the total,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,AUT,Austria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,3.1326501391,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,AUT,Austria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,3.2027801525,,E,Estimated value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,AUT,Austria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,3.2636074072,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,PRT,Portugal,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,1.3956242315,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,PRT,Portugal,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,1.6139190788,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,PRT,Portugal,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,1.6705103917,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,JPN,Japan,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,3.2182373957,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,JPN,Japan,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,3.2645758253,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,JPN,Japan,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,3.2767709295,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,SGP,Singapore,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,1.885059506,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ISL,Iceland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,2.6004039424,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,1.3947320439,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,0.5480475499,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BGR,Bulgaria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,0.7542117413,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ITA,Italy,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,1.3202802278,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TUR,Türkiye,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,1.3234259829,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ROU,Romania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,0.4588090964,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,POL,Poland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,1.4538317379,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,LVA,Latvia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,0.7623393279,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,CHN,China (People’s Republic of),A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,2.555181298,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,DNK,Denmark,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,2.8905118074,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,OECD,OECD,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,2.727401577,,E,Estimated value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,EU27_2020,European Union (27 countries from 01/02/2020),A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,2.1135305781,,E,Estimated value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ZAF,South Africa,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,0.6150252161,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,FRA,France,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,2.1755484083,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NOR,Norway,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,1.5575224195,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,LTU,Lithuania,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,1.0241955382,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,SVN,Slovenia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,2.1074586221,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,RUS,Russia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,1.0980295378,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,KOR,Korea,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,5.2108135952,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,SVK,Slovak Republic,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,0.9793879701,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ESP,Spain,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,1.4353152943,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,USA,United States,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,3.4831309665,,B,Time series break,D,Definition differs,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NLD,Netherlands,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,2.296222937,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,NZL,New Zealand,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,1.4656917697,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,CRI,Costa Rica,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,0.2738488981,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ISR,Israel,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,6.0192374897,,D,Definition differs,E,Estimated value,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,CHL,Chile,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,0.3604148674,,B,Time series break,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,CAN,Canada,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,1.7557766959,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HRV,Croatia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,1.4032272865,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,TWN,Chinese Taipei,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,3.9593508936,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,EST,Estonia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,1.7820513863,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,COL,Colombia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,0.2894026044,,E,Estimated value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,AUS,Australia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,1.6608371003,,E,Estimated value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BEL,Belgium,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,3.1566010593,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,CHE,Switzerland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,3.306450587,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,DEU,Germany,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,3.1323575569,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,GBR,United Kingdom,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,2.897105573,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,FIN,Finland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,2.9646938402,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,CZE,Czechia,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,1.9641979907,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,GRC,Greece,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,1.4929891161,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,IRL,Ireland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,0.9626420206,,E,Estimated value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,LUX,Luxembourg,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,0.9765259451,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,SWE,Sweden,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,3.408221951,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,AUT,Austria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,3.2004752764,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,PRT,Portugal,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,1.7017868348,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,JPN,Japan,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,3.4053677073,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,SGP,Singapore,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,2.1630497916,,,,,,,,,,,,0,Units,,,2,Two
